Date,BTC-open,BTC-high,BTC-low,BTC-close,BTC-vol,BTC-marcap,ETH-open,ETH-high,ETH-low,ETH-close,ETH-vol,ETH-marcap
25-Jun-20,"9,314.13","9,340.16","9,095.32","9,264.81","18,616,048,626","170,608,289,504",235.7,236.05,230.3,232.94,"7,010,426,122","25,973,707,946"
24-Jun-20,"9,632.15","9,680.37","9,278.23","9,313.61","18,961,716,076","171,498,781,280",244.19,248.51,232.81,235.77,"8,815,030,025","26,285,822,239"
23-Jun-20,"9,644.08","9,670.54","9,547.25","9,629.66","17,006,433,272","177,310,052,079",242.54,244.86,239.76,244.14,"6,624,530,348","27,215,606,543"
22-Jun-20,"9,300.92","9,655.07","9,296.87","9,648.72","21,104,009,514","177,651,397,437",229,243.78,228.93,242.53,"9,079,586,552","27,032,930,743"
21-Jun-20,"9,330.93","9,401.11","9,300.43","9,303.63","15,324,301,169","171,289,415,079",229.22,232.36,228.49,228.99,"5,600,408,178","25,520,273,837"
20-Jun-20,"9,290.96","9,394.97","9,247.38","9,332.34","17,130,541,557","171,809,438,651",226.98,231.45,226.64,229.27,"6,252,830,566","25,548,837,121"
19-Jun-20,"9,410.29","9,440.88","9,274.30","9,288.02","19,632,223,107","170,985,625,732",231.95,232.15,226.8,227.14,"6,946,372,590","25,307,718,819"
18-Jun-20,"9,481.57","9,482.78","9,328.40","9,411.84","17,770,083,003","173,256,688,664",232.9,234.57,228.95,232.1,"6,713,800,872","25,857,495,155"
17-Jun-20,"9,533.78","9,540.42","9,327.34","9,480.26","20,177,709,879","174,508,805,561",234.49,235.95,229.34,233.03,"7,701,391,592","25,957,610,764"
16-Jun-20,"9,454.27","9,579.43","9,400.45","9,538.02","21,565,537,209","175,563,963,385",229.76,236.39,228.43,234.42,"7,965,648,016","26,109,047,392"
15-Jun-20,"9,386.04","9,504.86","8,990.18","9,450.70","26,699,704,768","173,947,607,772",234.06,234.24,221.24,229.93,"10,536,099,884","25,606,145,743"
14-Jun-20,"9,477.55","9,482.27","9,347.59","9,386.79","18,991,732,746","172,763,239,787",238.97,239.1,232.96,234.11,"7,439,385,176","26,069,111,857"
13-Jun-20,"9,480.74","9,493.21","9,396.01","9,475.28","17,564,322,315","174,381,819,725",237.54,239.19,235.89,238.91,"7,141,624,980","26,599,679,550"
12-Jun-20,"9,320.69","9,540.47","9,285.85","9,480.84","22,610,564,515","174,474,896,922",231.63,239.35,229.65,237.49,"8,868,955,009","26,438,827,420"
11-Jun-20,"9,870.08","9,938.30","9,263.07","9,321.78","30,247,143,440","171,538,133,043",247.55,249.89,229.94,231.7,"12,356,528,860","25,791,024,831"
10-Jun-20,"9,794.12","9,908.90","9,728.29","9,870.09","25,706,567,601","181,616,765,438",244.82,248.65,242.82,247.44,"8,792,990,206","27,539,945,413"
9-Jun-20,"9,774.36","9,836.37","9,664.72","9,795.70","23,717,842,783","180,237,817,527",246.18,248.34,242.34,244.91,"8,446,545,788","27,254,678,255"
8-Jun-20,"9,760.06","9,782.31","9,675.89","9,771.49","21,486,346,312","179,782,576,534",245.18,246.64,241.54,246.31,"8,076,783,299","27,406,923,226"
7-Jun-20,"9,653.00","9,768.50","9,458.15","9,758.85","25,015,250,846","179,540,253,701",241.91,245.44,236.33,245.17,"9,544,883,157","27,276,459,502"
6-Jun-20,"9,664.90","9,773.43","9,591.02","9,653.68","20,438,419,222","177,595,657,884",241.2,245.98,239.72,241.93,"8,114,873,845","26,913,140,925"
